282	Cleftomaniacs	Arts/Performance
200	Club Cheer	Arts/Performance
113	College Democrats	Political
114	College Republicans	Political
688	Comics and Other Media [com]	Hobbies
677	Computer Science Education	Career/Professional
673	Congo Leadership Initiative	Service/Social Action
717	Connect	Religion/Spirituality
486	Coptic Club	Religion/Spirituality
724	Cosplay Coalition	Hobbies
598	Council of Computing Majors	Academic/Departmental
690	Create With Care	Service/Social Action
150	Crew/Rowing	Sports/Recreation
460	Cru	Religion/Spirituality
759	Culture Chords 	Arts/Performance
771	Culture Shock	Cultural/Ethnic
506	CWIT Student Council	Academic/Departmental
546	Cyber Defense Team	Career/Professional
151	Cycling Club	Sports/Recreation
10	Dance Council of Majors	Academic/Departmental
466	Debate Club	Intellectual Sports
73	Delta Phi Epsilon	Fraternities/Sororities
74	Delta Sigma Theta Sorority, Inc	Fraternities/Sororities
741	Destination H.O.M.E. (Helping Others More Everyday)	Service/Social Action
720	Destination Imagination	Intellectual Sports
463	DEVICE	Career/Professional
433	Disciples on Campus	Religion/Spirituality
731	Dog-Collar Comedy Troupe	Arts/Performance
394	Engineers Without Borders	Service/Social Action
13	English Council of Majors	Academic/Departmental
545	Entrepreneurial Society	Career/Professional
652	Environmental Task Force	Service/Social Action
173	Equestrian Club	Sports/Recreation
743	Ethics Bowl Team	Intellectual Sports
53	Ethiopian-Eritrean Student Association	Cultural/Ethnic
152	Fencing Club	Sports/Recreation
621	Filipino-American Student Association 	Cultural/Ethnic
14	Filmmakers Anonymous	Media
661	Food Recovery Network	Service/Social Action
115	Freedom Alliance (GLBTA)	Cultural/Ethnic
575	French Club	Cultural/Ethnic
294	Game Developer's Club	Career/Professional
537	Gender and Women's Studies Council of Majors	Academic/Departmental
592	Geography and Environmental Systems Council of Majors	Academic/Departmental
605	Global Brigades	Service/Social Action
733	Global Studies Council of Majors	Academic/Departmental
296	Go Club	Intellectual Sports
92	Golden Key International Honour Society	Honor Societies
128	Gospel Choir	Religion/Spirituality
139	Habitat for Humanity	Service/Social Action
681	681	681
16	Health Administration & Policy C.O.M.	Academic/Departmental
707	Hillel Student Organization	Religion/Spirituality
55	Hindu Students Council	Cultural/Ethnic
56	Hispanic Latino Student Union	Cultural/Ethnic
17	History Student Council	Academic/Departmental
586	Honors College Council 	Academic/Departmental
484	Humans vs. Zombies Club, UMBC	Hobbies
153	Ice Hockey Club	Sports/Recreation
18	Information Systems Council of Majors	Academic/Departmental
625	Information Systems Security Association 	Career/Professional
182	Institute of Electrical and Electronics Engineers	Academic/Departmental
19	Interdisciplinary Studies Council of Majors	Academic/Departmental
75	Interfraternity Council	Fraternities/Sororities
580	International Genetically Engineered Machine (iGEM)	Academic/Departmental
129	Intervarsity Christian Fellowship	Religion/Spirituality
578	Investing and Trading Club 	Hobbies
702	Irish Dance and Music Club	Arts/Performance
701	Ishara: The Indian Classical Dance Team	Arts/Performance
615	Japanese Student Association	Cultural/Ethnic
736	Jared Box Project	Service/Social Action
154	Jujitsu Club	Sports/Recreation
518	Kendo Club, UMBC	Sports/Recreation
302	Korean Bible Study	Religion/Spirituality
719	Korean Dance Club	Cultural/Ethnic
58	Korean Student Association	Cultural/Ethnic
155	Lacrosse (Men's)	Sports/Recreation
419	Lacrosse (Women's)	Sports/Recreation
78	Lambda Chi Alpha Fraternity	Fraternities/Sororities
693	Lambda Theta Alpha Latin Sorority, Inc	Fraternities/Sororities
764	Latin Dance Club	Cultural/Ethnic
576	League of Legends Club	Hobbies
714	Lending a Helping Paw	Service/Social Action
684	Linguistics Club	Academic/Departmental
20	Linux User's Group	Career/Professional
755	Lisa Simpson Book Club	Hobbies
723	Living Poets Socety	Arts/Performance
391	Living-Water Christian Fellowship	Religion/Spirituality
189	Lutheran and Episcopal Campus Ministry	Religion/Spirituality
725	MAD(Mobile Application Development) Team 	Career/Professional
378	Major Definition	Arts/Performance
213	Mama's Boys	Arts/Performance
577	Management of Aging Services Council of Majors	Academic/Departmental
417	Media and Communication Studies Council of Majors	Academic/Departmental
749	Meditation at UMBC	Religion/Spirituality
704	MEDLIFE 	Service/Social Action
671	Mincha	Religion/Spirituality
614	Minority Association of Pre-Medical Students (MAPS)	Academic/Departmental
103	Mock Trial Team	Intellectual Sports
747	Model African Union	Intellectual Sports
104	Model United Nations	Intellectual Sports
754	Moot Court Club	Intellectual Sports
308	Multicultural Greek Council	Fraternities/Sororities
370	Musical Theatre Club	Arts/Performance
60	Muslim Student Association	Religion/Spirituality
703	National Alliance on Mental Illness 	Service/Social Action
312	National Pan Hellenic Council	Fraternities/Sororities
24	National Society of Black Engineers	Career/Professional
94	National Society of Collegiate Scholars	Honor Societies
767	Nepali Student Association	Cultural/Ethnic
742	On Demand: Entertainment and Media Club 	Hobbies
396	Orthodox Christian Fellowship	Religion/Spirituality
587	Outdoor Recreation Club	Hobbies
133	Pagan Student Union	Religion/Spirituality
450	Pakistani Student Association (PakSA)	Cultural/Ethnic
535	Pandemic Steelband	Arts/Performance
227	Panhellenic Association	Fraternities/Sororities
706	People United	Service/Social Action
316	Perfected Praise Liturgical Dance Ministry	Religion/Spirituality
62	Persian Student Association	Cultural/Ethnic
596	Phi Alpha National Social Work Honor Society	Honor Societies
84	Phi Beta Sigma Fraternity, Inc.	Fraternities/Sororities
746	Phi Delta Epsilon International Medical Fraternity	Fraternities/Sororities
186	Phi Kappa Sigma	Fraternities/Sororities
85	Phi Mu Fraternity for Women	Fraternities/Sororities
187	Phi Sigma Sigma	Fraternities/Sororities
25	Philosophers Anonymous	Academic/Departmental
728	Photography Club	Arts/Performance
87	Pi Kappa Phi	Fraternities/Sororities
442	Pi Mu Epsilon	Honor Societies
413	Political Science Council of Majors	Academic/Departmental
449	POP Pilates & Yoga	Hobbies
757	Power of Grace	Religion/Spirituality
28	Pre-Dental Society	Career/Professional
30	Pre-Medical Society	Career/Professional
750	Pre-Nursing Society	Career/Professional
458	Pre-Optometry Society	Career/Professional
31	Pre-Pharmacy Society	Career/Professional
532	Pre-Physical Therapy Society	Career/Professional
689	Pre-Physician Assistant Society	Career/Professional
422	Pre-Veterinary Society	Career/Professional
97	Psi Chi Honor Society (Psychology)	Honor Societies
713	Psychology Club	Academic/Departmental
528	QUMBC	Service/Social Action
68	Resident Student Association	Governance
667	Retriever Robotics	Intellectual Sports
107	Retriever Weekly	Media
646	Rifle and Pistol Club (Firearm Safety and Education)	Hobbies
512	Rock Climbing Club, UMBC	Hobbies
611	Rockets and More	Hobbies
705	Rotaract Club	Service/Social Action
158	Rugby Club (Men's)	Sports/Recreation
159	Rugby Club (Women's)	Sports/Recreation
451	Running Club	Sports/Recreation
421	Russian Club	Cultural/Ethnic
160	Sailing Club & Team	Sports/Recreation
629	Salvation and Praise	Religion/Spirituality
609	Saudi Students Club	Cultural/Ethnic
697	Scuba Diving Club	Hobbies
472	Sigma Alpha Epsilon	Fraternities/Sororities
225	Sigma Alpha Lambda	Honor Societies
409	Sikh Student Association	Religion/Spirituality
163	Soccer (Men's)	Sports/Recreation
164	Soccer (Women's)	Sports/Recreation
33	Social Work Student Association	Academic/Departmental
35	Society of Automotive Engineers	Academic/Departmental
739	Society of Hispanic Professional Engineers	Career/Professional
36	Society of Women Engineers	Career/Professional
63	South Asian Students Association	Cultural/Ethnic
738	Spanish Conversation Club 	Academic/Departmental
740	Speech Team	Intellectual Sports
527	Splash! UMBC	Service/Social Action
616	Sri Lankan Student Association (SLSA)	Cultural/Ethnic
436	Stilettos, The	Arts/Performance
572	Student Alumni Association	Service/Social Action
329	Student Events Board	Governance
69	Student Government Association	Governance
330	Student-Athlete Advisory Committee	Governance
696	Students for a Healthy Baltimore	Service/Social Action
140	Students for Environmental Awareness	Service/Social Action
202	Students for Life	Political
699	SUCCESS Buddies	Service/Social Action
770	Super Smash Bros. Club	Hobbies
465	Taal-Capella	Arts/Performance
166	Table Tennis Club	Hobbies
167	Tae Kwon Do Club	Sports/Recreation
333	Taiwanese Student Association	Cultural/Ethnic
98	Tau Beta Pi (Engineering)	Honor Societies
190	Tau Kappa Epsilon	Fraternities/Sororities
423	Tau Sigma National Honor Society	Honor Societies
335	Tennis Club	Sports/Recreation
774	The Charm City Connection	Service/Social Action
732	The Communicators	Career/Professional
670	The Garden	Service/Social Action
758	The Reach Initaitive	Service/Social Action
763	The S.T.A.R. Program 	Service/Social Action
41	Theatre Council of Majors	Arts/Performance
91	Triangle Fraternity	Fraternities/Sororities
729	UAV (Unmanned Aerial Vehicles)	Academic/Departmental
571	Ultimate Frisbee (Women's)	Sports/Recreation
168	Ultimate Frisbee Team	Sports/Recreation
550	UMBC Gaming	Hobbies
534	UMBC Raascals	Arts/Performance
672	United Christian Council	Governance
766	United Muslim Relief	Service/Social Action
490	Vegetarians, UMBC	Service/Social Action
745	Veiled Voices: Empowering Muslim Women	Service/Social Action
722	Viet Nam Medical Assistance Program (VNMAP)	Service/Social Action
66	Vietnamese Student Association	Cultural/Ethnic
727	Vinyl Spinners	Hobbies
735	Visual and Fine Arts Club	Arts/Performance
169	Volleyball (Men's)	Sports/Recreation
170	Volleyball (Women's)	Sports/Recreation
109	WMBC	Media
344	Women Involved in Learning and Leadership (WILL)	Service/Social Action
171	Wrestling Team	Sports/Recreation
346	Wushu/Tai Chi Club	Sports/Recreation
117	Young Americans for Liberty	Political
445	Zeta Sigma Chi Multicultural Sorority, Inc	Fraternities/Sororities
